,Apply,Company,Duration,Link,Location,Posted,Profile,Rewards,Start,Stipend,Tag
74,25 Jan'20,Viacom India LLP,6 Months,/internship/detail/after-effects-artist-for-motion-graphics-videos-animation-internship-in-delhi-gurgaon-at-viacom-india-llp1577197908,Delhi,26 Dec'19,After Effects Artist For Motion Graphics Videos & Animation,,Immediately,4000-8000 /Month,Media
75,18 Jan'20,Taylor & Francis India,3 Months,/internship/detail/editorial-researcher-internship-in-delhi-at-taylor-francis-india1576139511,Delhi,13 Dec'19,Editorial Researcher,,Immediately,15000 /Month,Media
76,1 Feb'20,ReleaseMyAd,6 Months,/internship/detail/social-media-marketing-internship-in-kolkata-bidhannagar-at-releasemyad1579339711,Kolkata,18 Jan'20,Social Media Marketing,,Immediately,10000 /Month,Media
77,1 Feb'20,Alban Communications India Private Limited,3 Months,/internship/detail/social-media-marketing-internship-in-delhi-at-alban-communications-india-private-limited1579339030,Delhi,18 Jan'20,Social Media Marketing,,Immediately,15000-20000 /Month,Media
78,1 Feb'20,Mahendra Homes Private Limited,6 Months,/internship/detail/digital-marketing-internship-in-bangalore-at-mahendra-homes-private-limited1579338974,Bangalore,18 Jan'20,Digital Marketing,,Immediately,7000 /Month,Media
79,1 Feb'20,Alban Communications India Private Limited,1 Month,/internship/detail/digital-marketing-internship-in-delhi-at-alban-communications-india-private-limited1579338951,Delhi,18 Jan'20,Digital Marketing,,Immediately,12000-20000 /Month,Media
80,1 Feb'20,Vistabiz Solutions,2 Months,/internship/detail/digital-marketing-internship-in-mumbai-at-vistabiz-solutions1579338363,Mumbai,18 Jan'20,Digital Marketing,,Immediately,5000-7000 /Month,Media
81,1 Feb'20,Percoyo Private Limited,6 Months,/internship/detail/pay-per-click-internship-in-bangalore-at-percoyo-private-limited1579338107,Bangalore,18 Jan'20,Pay Per Click,,Immediately,8000-10000 /Month,Media
82,1 Feb'20,Ferosh India,3 Months,/internship/detail/social-media-marketing-internship-in-delhi-at-ferosh-india1579337441,Delhi,18 Jan'20,Social Media Marketing,,Immediately,10000-15000 /Month,Media
83,1 Feb'20,WriteSoft,2 Months,/internship/detail/content-writing-work-from-home-job-internship-at-writesoft1579336873,Work From Home,18 Jan'20,Content Writing,,Immediately,1000-3000 /Month,Media
84,1 Feb'20,Error Technologies,3 Months,/internship/detail/digital-marketing-internship-in-hyderabad-at-error-technologies1579336242,Hyderabad,18 Jan'20,Digital Marketing,,Immediately,4000 /Month,Media
85,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-vritti-designs-private-limited1579335238,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,6000 /Month,Media
86,1 Feb'20,Creatorshala,3 Months,/internship/detail/content-writing-work-from-home-job-internship-at-creatorshala1579335228,Work From Home,18 Jan'20,Content Writing,,Immediately,3000-6000 /Month,Media
87,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/digital-marketing-internship-in-mumbai-at-vritti-designs-private-limited1579335221,Mumbai,18 Jan'20,Digital Marketing,,Immediately,6000 /Month,Media
88,1 Feb'20,Creatorshala,4 Months,/internship/detail/social-media-marketing-work-from-home-job-internship-at-creatorshala1579335220,Work From Home,18 Jan'20,Social Media Marketing,,Immediately,5000 /Month,Media
89,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/content-writing-work-from-home-job-internship-at-vritti-designs-private-limited1579335199,Work From Home,18 Jan'20,Content Writing,,Immediately,6000 /Month,Media
90,1 Feb'20,Sonant Technologies Private Limited,3 Months,/internship/detail/content-writing-internship-in-jaipur-at-sonant-technologies-private-limited1579335047,Jaipur,18 Jan'20,Content Writing,,Immediately,5000-10000 /Month,Media
91,1 Feb'20,Aghori Media House Private Limited,3 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-aghori-media-house-private-limited1579334951,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,5000 /Month,Media
92,1 Feb'20,Paytoways,3 Months,/internship/detail/digital-marketing-internship-in-hyderabad-at-paytoways1579334845,Hyderabad,18 Jan'20,Digital Marketing,,Immediately,5000-8000 /Month,Media
93,1 Feb'20,Paytoways,3 Months,/internship/detail/content-writing-internship-in-hyderabad-at-paytoways1579334795,Hyderabad,18 Jan'20,Content Writing,,Immediately,5000-8000 /Month,Media
94,1 Feb'20,IAppTunes,3 Months,/internship/detail/social-media-marketing-internship-in-multiple-locations-at-iapptunes1579334431,Kharar,18 Jan'20,Social Media Marketing,,Immediately,7000-12000 /Month,Media
95,1 Feb'20,Complay Digital Media Private Limited,3 Months,/internship/detail/social-media-marketing-work-from-home-job-internship-at-complay-digital-media-private-limited1579334227,Work From Home,18 Jan'20,Social Media Marketing,,Immediately,2000-5000 /Month,Media
