,Apply,Category,Company,Duration,Link,Location,Posted,Profile,Start,Stipend
77,27 Jan'20,Customer Service,Moretasks Business Solution Limited,6 Months,https://internshala.com/internship/detail/knowledge-process-outsourcing-internship-in-gurgaon-at-moretasks-business-solution-limited1578910746,Gurgaon,13 Jan'20,Knowledge Process Outsourcing,Immediately,15000-20000 /Month
78,27 Jan'20,Customer Service,Moretasks Business Solution Limited,6 Months,https://internshala.com/internship/detail/international-customer-relationship-management-internship-in-gurgaon-at-moretasks-business-solution-limited1578910724,Gurgaon,13 Jan'20,International Customer Relationship Management,Immediately,15000-20000 /Month
79,28 Jan'20,Customer Service,Arttora,2 Months,https://internshala.com/internship/detail/customer-service-internship-in-bangalore-at-arttora1578656889,Bangalore,13 Jan'20,Customer Service,Immediately,7000-10000 /Month
80,27 Jan'20,Customer Service,Alippo,3 Months,https://internshala.com/internship/detail/customer-service-internship-in-bangalore-at-alippo1578904361,Bangalore,13 Jan'20,Customer Service,Immediately,10000 /Month
81,28 Jan'20,Customer Service,TantraSoft Solutions (I) Private Limited,6 Months,https://internshala.com/internship/detail/customer-service-engineering-internship-in-mumbai-at-tantrasoft-solutions-i-private-limited1578903329,Mumbai,13 Jan'20,Customer Service (Engineering),Immediately,10000 /Month
82,28 Jan'20,Customer Service,Eden Realty Ventures Private Limited,6 Months,https://internshala.com/internship/detail/telemarketing-internship-in-kolkata-at-eden-realty-ventures-private-limited1578900351,Kolkata,13 Jan'20,Telemarketing,Immediately,8000-10000 /Month
83,28 Jan'20,Customer Service,Recon Global Business Advisory Private Limited,3 Months,https://internshala.com/internship/detail/customer-service-internship-in-gurgoan-at-recon-global-business-advisory-private-limited1578897831,Gurgoan,13 Jan'20,Customer Service,Immediately,4000 /Month
84,28 Jan'20,Customer Service,Great Food & Beverages,3 Months,https://internshala.com/internship/detail/customer-service-internship-in-gurgaon-at-great-food-beverages1578633785,Gurgaon,13 Jan'20,Customer Service,Immediately,15000-25000 /Month
85,31 Jan'20,Customer Service,Litost India Infotech Private Limited,6 Months,https://internshala.com/internship/detail/client-coordination-internship-in-noida-at-litost-india-infotech-private-limited1578893038,Noida,13 Jan'20,Client Coordination,Immediately,5000 /Month
86,28 Jan'20,Customer Service,Balj Technology Private Limited,6 Months,https://internshala.com/internship/detail/technical-support-internship-in-noida-at-balj-technology-private-limited1578891358,Noida,13 Jan'20,Technical Support,Immediately,10000-14000 /Month
87,28 Jan'20,Customer Service,Uniform Application,2 Months,https://internshala.com/internship/detail/parent-relationship-management-internship-in-lucknow-at-uniform-application1578866122,Lucknow,13 Jan'20,Parent Relationship Management,Immediately,5000 /Month
88,25 Jan'20,Customer Service,Precision Infomatic Private Limited,6 Months,https://internshala.com/internship/detail/customer-service-internship-in-noida-at-precision-infomatic-private-limited1578559743,Noida,10 Jan'20,Customer Service,Immediately,10000 /Month
89,31 Jan'20,Customer Service,Orotodo,1 Month,https://internshala.com/internship/detail/foreign-language-translating-internship-in-multiple-locations-at-orotodo1578656218,Delhi,10 Jan'20,Foreign Language Translating,Immediately,10000 /Month
90,25 Jan'20,Customer Service,S&S Care Skills Academy Private Limited,2 Months,https://internshala.com/internship/detail/educational-counseling-internship-in-multiple-locations-at-s-s-care-skills-academy-private-limited1578655596,Delhi,10 Jan'20,Educational Counseling,Immediately,5000 /Month
91,25 Jan'20,Customer Service,CaterNinja,5 Months,https://internshala.com/internship/detail/operations-internship-in-mumbai-at-caterninja1578652306,Mumbai,10 Jan'20,Operations,Immediately,10000-20000 /Month
92,25 Jan'20,Customer Service,Sair,6 Months,https://internshala.com/internship/detail/customer-service-internship-in-delhi-at-sair1578644796,Delhi,10 Jan'20,Customer Service,Immediately,20000 /Month
93,23 Jan'20,Customer Service,BFY Sports And Fitness,1 Month,https://internshala.com/internship/detail/customer-service-part-time-job-internship-at-mumbai-in-bfy-sports-and-fitness1578557251,Mumbai,9 Jan'20,Customer Service,Immediately,4000 /Month
94,23 Jan'20,Customer Service,Comforto Bedding,2 Months,https://internshala.com/internship/detail/customer-service-internship-in-delhi-at-comforto-bedding1578556585,Delhi,9 Jan'20,Customer Service,Immediately,7000-14000 /Month
95,31 Jan'20,Customer Service,Colosseum Tech Solutions,6 Months,https://internshala.com/internship/detail/customer-service-technical-support-internship-in-hyderabad-at-colosseum-tech-solutions1578554086,Hyderabad,9 Jan'20,Customer Service (Technical Support),Immediately,8000-15000 /Month
96,24 Jan'20,Customer Service,Leaf Studios,3 Months,https://internshala.com/internship/detail/customer-service-internship-in-delhi-at-leaf-studios1578551891,Delhi,9 Jan'20,Customer Service,Immediately,5000 /Month
97,23 Jan'20,Customer Service,QuadB,4 Months,https://internshala.com/internship/detail/customer-service-internship-in-chandigarh-at-quadb1578543980,Chandigarh,9 Jan'20,Customer Service,Immediately,10000 /Month
