,Apply,Company,Duration,Link,Location,Posted,Profile,Rewards,Start,Stipend,Tag
46,31 Jan'20,MakeMyTrip,6 Months,/internship/detail/marketing-internship-in-kolkata-at-makemytrip1579254890,Kolkata,17 Jan'20,Marketing,,Immediately,7500 /Month,MBA
47,31 Jan'20,UrbanClap Technologies India Private Limited,2 Months,/internship/detail/business-development-sales-internship-in-chennai-at-urbanclap-technologies-india-private-limited1579252526,Chennai,17 Jan'20,Business Development (Sales),,Immediately,8000-12000 /Month,MBA
48,31 Jan'20,"Tryst, IIT Delhi",2 Months,/internship/detail/campus-ambassador-programme-at-tryst-iit-delhi1579016894,Work From Home,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,MBA
49,31 Jan'20,BYJU'S,2 Months,/internship/detail/marketing-internship-in-mumbai-at-byjus1579246948,Mumbai,17 Jan'20,Marketing,,Immediately,15000 /Month,MBA
50,31 Jan'20,Sudarshan TV Channel Private Limited,3 Months,/internship/detail/digital-marketing-internship-in-noida-at-sudarshan-tv-channel-private-limited1579241313,Noida,17 Jan'20,Digital Marketing,,Immediately,2000-5000 /Month,MBA
51,31 Jan'20,FirstCry.com,4 Months,/internship/detail/digital-marketing-internship-in-pune-at-firstcrycom1579234454,Pune,17 Jan'20,Digital Marketing,,Immediately,6000 /Month,MBA
52,31 Jan'20,Mahindra Comviva,3 Months,/internship/detail/human-resources-hr-internship-in-gurgaon-at-mahindra-comviva1578986764,Gurgaon,16 Jan'20,Human Resources (HR),,Immediately,10000 /Month,MBA
53,30 Jan'20,Conde Nast India,3 Months,/internship/detail/business-development-sales-internship-in-mumbai-at-conde-nast-india1579178908,Mumbai,16 Jan'20,Business Development (Sales),,Immediately,3500 /Month,MBA
54,31 Jan'20,Times Internet Limited,3 Months,/internship/detail/project-management-part-time-job-internship-at-gurgaon-in-times-internet-limited1579177894,Gurgaon,16 Jan'20,Project Management,,Immediately,5000 /Month,MBA
55,31 Jan'20,Sterlite Technologies Limited,6 Months,/internship/detail/operations-internship-in-jansa-at-sterlite-technologies-limited1579166491,Jansa,16 Jan'20,Operations,,Immediately,12000 /Month,MBA
56,31 Jan'20,First Step Digital Private Limited,1 Month,/internship/detail/brand-management-internship-in-gurgaon-delhi-at-first-step-digital-private-limited1579174955,Gurgaon,16 Jan'20,Brand Management,,Immediately,2000 /Month,MBA
57,30 Jan'20,BookMyShow,3 Months,/internship/detail/sponsorship-sales-internship-in-mumbai-at-bookmyshow1579173695,Mumbai,16 Jan'20,Sponsorship Sales,,Immediately,5000 /Month,MBA
58,3 Feb'20,"Entrepreneurship Cell, VIT University",2 Months,/internship/detail/campus-ambassador-programme-at-entrepreneurship-cell-vit-university1578905160,Work From Home,16 Jan'20,Campus Ambassador,Performance Based,Immediately,,MBA
59,30 Jan'20,Delhivery Private Limited,4 Months,/internship/detail/client-servicing-internship-in-kolkata-at-delhivery-private-limited1579170996,Kolkata,16 Jan'20,Client Servicing,,Immediately,9000 /Month,MBA
60,30 Jan'20,9X Media Private Limited,5 Months,/internship/detail/talent-management-internship-in-mumbai-at-9x-media-private-limited1579168434,Mumbai,16 Jan'20,Talent Management,,Immediately,5000 /Month,MBA
61,31 Jan'20,Motilal Oswal,4 Months,/internship/detail/stock-market-trading-strategy-development-internship-in-mumbai-at-motilal-oswal1579090031,Mumbai,16 Jan'20,Stock Market Trading Strategy Development,,Immediately,3000 /Month,MBA
62,31 Jan'20,Motilal Oswal,5 Months,/internship/detail/operations-internship-in-mumbai-at-motilal-oswal1579161899,Mumbai,16 Jan'20,Operations,,Immediately,3000 /Month,MBA
63,31 Jan'20,Delhivery Private Limited,3 Months,/internship/detail/mis-internship-in-mumbai-at-delhivery-private-limited1579088944,Mumbai,16 Jan'20,MIS,,Immediately,12000 /Month,MBA
64,31 Jan'20,Motilal Oswal,4 Months,/internship/detail/operations-internship-in-mumbai-at-motilal-oswal1579161504,Mumbai,16 Jan'20,Operations,,Immediately,3000 /Month,MBA
65,31 Jan'20,Times Internet Limited,6 Months,/internship/detail/content-operations-internship-in-mumbai-at-times-internet-limited1579072163,Mumbai,16 Jan'20,Content Operations,,Immediately,10000 /Month,MBA
66,31 Jan'20,Motilal Oswal,4 Months,/internship/detail/relationship-management-internship-in-mumbai-at-motilal-oswal1579156907,Mumbai,16 Jan'20,Relationship Management,,Immediately,3000 /Month,MBA
67,31 Jan'20,Teach For India,2 Months,/internship/detail/city-human-resources-and-operations-internship-in-hyderabad-at-teach-for-india1579083198,Hyderabad,16 Jan'20,City Human Resources And Operations,,Immediately,4000 /Month,MBA
68,31 Jan'20,Policy Bazaar,3 Months,/internship/detail/human-resources-hr-internship-in-gurgaon-at-policy-bazaar1579011233,Gurgaon,16 Jan'20,Human Resources (HR),,Immediately,10000 /Month,MBA
69,29 Jan'20,Hungama Digital Media Entertainment Private Limited,3 Months,/internship/detail/database-building-management-internship-in-mumbai-at-hungama-digital-media-entertainment-private-limited1579094005,Mumbai,15 Jan'20,Database Building/Management,,Immediately,5000 /Month,MBA
70,29 Jan'20,Motilal Oswal,4 Months,/internship/detail/digital-marketing-internship-in-mumbai-at-motilal-oswal1579091591,Mumbai,15 Jan'20,Digital Marketing,,Immediately,3000 /Week,MBA
71,30 Jan'20,Treebo Hotels,6 Months,/internship/detail/customer-service-internship-in-bangalore-at-treebo-hotels1579086183,Bangalore,15 Jan'20,Customer Service,,Immediately,16000 /Month,MBA
72,29 Jan'20,UrbanClap Technologies India Private Limited,3 Months,/internship/detail/operations-internship-in-pune-at-urbanclap-technologies-india-private-limited1579085685,Pune,15 Jan'20,Operations,,Immediately,8000-10000 /Month,MBA
73,30 Jan'20,Times Internet Limited,3 Months,/internship/detail/influencer-marketing-internship-in-noida-at-times-internet-limited1578987867,Noida,15 Jan'20,Influencer Marketing,,Immediately,5000 /Month,MBA
74,30 Jan'20,Uber,6 Months,/internship/detail/restaurant-operations-internship-in-bhubaneswar-cuttack-at-uber1578917669,Bhubaneswar,15 Jan'20,Restaurant Operations,,Immediately,35000-45000 /Month,MBA
75,19 Feb'20,MAYAPURI GROUP,3 Months,/internship/detail/search-engine-optimization-seo-internship-in-delhi-at-mayapuri-group1579074213,Delhi,15 Jan'20,Search Engine Optimization (SEO),,Immediately,5000 /Month,MBA
76,29 Jan'20,Times Internet Limited,3 Months,/internship/detail/business-development-sales-internship-in-multiple-locations-at-times-internet-limited1578980014,Agra,15 Jan'20,Business Development (Sales),,Immediately,10000 /Month,MBA
77,19 Feb'20,MAYAPURI GROUP,3 Months,/internship/detail/social-media-marketing-internship-in-delhi-at-mayapuri-group1579074147,Delhi,15 Jan'20,Social Media Marketing,,Immediately,5000 /Month,MBA
78,29 Jan'20,Freecharge Payments Technology Private Limited,3 Months,/internship/detail/business-development-sales-internship-in-gurgaon-at-freecharge-payments-technology-private-limited1579073940,Gurgaon,15 Jan'20,Business Development (Sales),,Immediately,10000 /Month,MBA
79,30 Jan'20,McDonald's India (West & South),4 Months,/internship/detail/corporate-communications-internship-in-mumbai-at-mcdonalds-india-west-south1578912759,Mumbai,15 Jan'20,Corporate Communications,,Immediately,15000 /Month,MBA
80,30 Jan'20,Religare Health Insurance Company Limited,3 Months,/internship/detail/human-resources-hr-internship-in-goregaon-at-religare-health-insurance-company-limited1578910959,Goregaon,15 Jan'20,Human Resources (HR),,Immediately,2000 /Month,MBA
81,29 Jan'20,Teach For India,2 Months,/internship/detail/development-fundraising-internship-in-mumbai-at-teach-for-india1579065735,Mumbai,15 Jan'20,Development (Fundraising),,Immediately,4000 /Month,MBA
82,28 Jan'20,UrbanClap Technologies India Private Limited,3 Months,/internship/detail/business-development-sales-internship-in-hyderabad-at-urbanclap-technologies-india-private-limited1579005860,Hyderabad,14 Jan'20,Business Development (Sales),,Immediately,8000-12000 /Month,MBA
83,28 Jan'20,Times Network,3 Months,/internship/detail/traffic-presentation-internship-in-mumbai-at-times-network1578984526,Mumbai,14 Jan'20,Traffic & Presentation,,Immediately,3000 /Month,MBA
84,29 Jan'20,"Bennett, Coleman & Company Limited",6 Months,/internship/detail/business-development-sales-internship-in-mumbai-at-bennett-coleman-company-limited1578659385,Mumbai,14 Jan'20,Business Development (Sales),,Immediately,5000 /Month,MBA
85,28 Jan'20,Times Centre For Learning Limited,6 Months,/internship/detail/business-development-sales-internship-in-mumbai-at-times-centre-for-learning-limited1578981264,Mumbai,14 Jan'20,Business Development (Sales),,Immediately,5000-7000 /Month,MBA
86,28 Jan'20,Times Internet Limited,3 Months,/internship/detail/marketing-internship-in-noida-at-times-internet-limited1578979702,Noida,14 Jan'20,Marketing,,Immediately,5000-8000 /Month,MBA
87,28 Jan'20,Hindustan Unilever Limited,6 Months,/internship/detail/ecommerce-management-internship-in-mumbai-at-hindustan-unilever-limited1578478555,Mumbai,14 Jan'20,Ecommerce Management,,Immediately,20000 /Month,MBA
88,29 Jan'20,"Bennett, Coleman & Company Limited",6 Months,/internship/detail/operations-internship-in-mumbai-at-bennett-coleman-company-limited1578635400,Mumbai,14 Jan'20,Operations,,Immediately,5000 /Month,MBA
89,28 Jan'20,Think & Learn Private Limited (BYJU'S),3 Months,/internship/detail/campaign-marketing-internship-in-multiple-locations-at-think-learn-private-limited-byjus1578997149,Delhi,13 Jan'20,Campaign Marketing,,Immediately,15000 /Month,MBA
90,27 Jan'20,BYJU'S,3 Months,/internship/detail/marketing-internship-in-chandigarh-at-byjus1578916009,Chandigarh,13 Jan'20,Marketing,,Immediately,15000 /Month,MBA
91,27 Jan'20,Nelco Limited (Tata Group),2 Months,/internship/detail/human-resources-hr-internship-in-navi-mumbai-at-nelco-limited-tata-group1578906685,Navi Mumbai,13 Jan'20,Human Resources (HR),,Immediately,5000 /Month,MBA
92,28 Jan'20,Paisabazaar.com,3 Months,/internship/detail/human-resources-hr-internship-in-gurgaon-delhi-at-paisabazaarcom1578478815,Gurgaon,13 Jan'20,Human Resources (HR),,Immediately,10000 /Month,MBA
93,28 Jan'20,UrbanClap Technologies India Private Limited,2 Months,/internship/detail/business-development-sales-internship-in-gurgaon-at-urbanclap-technologies-india-private-limited1578231338,Gurgaon,13 Jan'20,Business Development (Sales),,Immediately,8000 /Month,MBA
94,27 Jan'20,ByteDance Incorporation,3 Months,/internship/detail/human-resources-hr-internship-in-gurgaon-at-bytedance-incorporation1578897562,Gurgaon,13 Jan'20,Human Resources (HR),,Immediately,15000 /Month,MBA
95,27 Jan'20,GQ India,3 Months,/internship/detail/editorial-media-internship-in-mumbai-at-gq-india1578896175,Mumbai,13 Jan'20,Editorial/Media,,Immediately,3500 /Month,MBA
96,27 Jan'20,Percept,3 Months,/internship/detail/business-development-sales-internship-in-delhi-at-percept1578895924,Delhi,13 Jan'20,Business Development (Sales),,Immediately,2500 /Month,MBA
97,28 Jan'20,Terence Lewis Professional Training Institute,4 Months,/internship/detail/business-development-sales-internship-in-mumbai-at-terence-lewis-professional-training-institute1578573393,Mumbai,13 Jan'20,Business Development (Sales),,Immediately,10000 /Month,MBA
98,24 Jan'20,Hindustan Unilever Limited,5 Months,/internship/detail/marketing-internship-in-mumbai-at-hindustan-unilever-limited1578657120,Mumbai,10 Jan'20,Marketing,,Immediately,20000 /Month,MBA
99,25 Jan'20,Zoomcar India Private Limited,2 Months,/internship/detail/campus-ambassador-programme-at-zoomcar-india-private-limited1578559025,Chennai,10 Jan'20,Campus Ambassador,Performance Based,Immediately,,MBA
100,24 Jan'20,UrbanClap Technologies India Private Limited,3 Months,/internship/detail/business-development-sales-internship-in-mumbai-at-urbanclap-technologies-india-private-limited1578554869,Mumbai,10 Jan'20,Business Development (Sales),,Immediately,8000-12000 /Month,MBA
101,24 Jan'20,Fever Entertainment,3 Months,/internship/detail/finance-internship-in-delhi-at-fever-entertainment1578651487,Delhi,10 Jan'20,Finance,,Immediately,3500 /Month,MBA
102,25 Jan'20,HCL TSS,2 Months,/internship/detail/human-resources-hr-internship-in-noida-at-hcl-tss1578554290,Noida,10 Jan'20,Human Resources (HR),,Immediately,3000 /Month,MBA
